district,scenario,year,key_insight_1,key_insight_2,key_insight_3
YAVATMAL,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
ADILABAD,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
BHADRADRI KOTHAGUDEM,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
HANUMAKONDA,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 10.5%.
HYDERABAD,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.2%.
JAGTIAL,ssp585,2040,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 12.4%.
JANGAON,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
JAYASHANKAR BHUPALPALLI,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.7%.
JOGULAMBA GADWAL,ssp585,2040,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.2%.,Overall risk class is Moderate Risk.
KAMAREDDY,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KARIMNAGAR,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KHAMMAM,ssp585,2040,Temperature projected to increase by 1.5C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
KUMURAM BHEEM,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
MAHABUBABAD,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.8%.
MAHBUBNAGAR,ssp585,2040,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.4%.,Overall risk class is Moderate Risk.
MANCHERIAL,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.7%.
MEDAK,ssp585,2040,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 12.1%.
MEDCHAL-MALKAJGIRI,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
MULUGU,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NAGARKURNOOL,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 3.8%.
NALGONDA,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
NARAYANPET,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.6%.
NIRMAL,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 13.8%.
NIZAMABAD,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PEDDAPALLI,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
RAJANNA SIRCILLA,ssp585,2040,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 14.0%.
RANGA REDDY,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SANGAREDDY,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SIDDIPET,ssp585,2040,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 11.5%.
SURYAPET,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
VIKARABAD,ssp585,2040,Temperature projected to increase by 1.4C by 2040.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
WANAPARTHY,ssp585,2040,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 2.3%.,Overall risk class is Moderate Risk.
WARANGAL,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 9.4%.
YADADRI BHUVANAGIRI,ssp585,2040,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 10.0%.
